Word;Frequency;Frequency in %
никак;0,0001;0,0126
рядом;0,0001;0,0126
самые;0,0001;0,0126
силы;0,0001;0,0126
соню;0,0001;0,0126
состоянии;0,0001;0,0126
сперанского;0,0001;0,0126
старался;0,0001;0,0126
ума;0,0001;0,0126
честь;0,0001;0,0126
числе;0,0001;0,0126
ah;0,0001;0,0121
василья;0,0001;0,0121
вернулся;0,0001;0,0121
видите;0,0001;0,0121
вижу;0,0001;0,0121
внимания;0,0001;0,0121
генерала;0,0001;0,0121
другую;0,0001;0,0121
душа;0,0001;0,0121
крик;0,0001;0,0121
левой;0,0001;0,0121
моего;0,0001;0,0121
нашей;0,0001;0,0121
обратилась;0,0001;0,0121
окна;0,0001;0,0121
отцом;0,0001;0,0121
подумала;0,0001;0,0121
подъехал;0,0001;0,0121
постоянно;0,0001;0,0121
принял;0,0001;0,0121
света;0,0001;0,0121
свидания;0,0001;0,0121
слегка;0,0001;0,0121
сначала;0,0001;0,0121
соне;0,0001;0,0121
читал;0,0001;0,0121
10;0,0001;0,0117
s;0,0001;0,0117
y;0,0001;0,0117
большую;0,0001;0,0117
борису;0,0001;0,0117
вместо;0,0001;0,0117
глупости;0,0001;0,0117
головы;0,0001;0,0117
графине;0,0001;0,0117
громко;0,0001;0,0117
держал;0,0001;0,0117
другими;0,0001;0,0117
души;0,0001;0,0117
желаю;0,0001;0,0117
заметив;0,0001;0,0117
иметь;0,0001;0,0117
иначе;0,0001;0,0117
кутузову;0,0001;0,0117
мгновение;0,0001;0,0117
мир;0,0001;0,0117
могут;0,0001;0,0117
молодые;0,0001;0,0117
неловко;0,0001;0,0117
поднял;0,0001;0,0117
предложение;0,0001;0,0117
приезда;0,0001;0,0117
рада;0,0001;0,0117
решительно;0,0001;0,0117
рублей;0,0001;0,0117
села;0,0001;0,0117
солдата;0,0001;0,0117
столом;0,0001;0,0117
страха;0,0001;0,0117
сыну;0,0001;0,0117
торопливо;0,0001;0,0117
французски;0,0001;0,0117
чувства;0,0001;0,0117
шли;0,0001;0,0117
son;0,0001;0,0113
армия;0,0001;0,0113
бале;0,0001;0,0113
боялся;0,0001;0,0113
василия;0,0001;0,0113
впечатление;0,0001;0,0113
дам;0,0001;0,0113
движение;0,0001;0,0113
доктор;0,0001;0,0113
долгоруков;0,0001;0,0113
ею;0,0001;0,0113
жена;0,0001;0,0113
жене;0,0001;0,0113
замуж;0,0001;0,0113
идет;0,0001;0,0113
лиц;0,0001;0,0113
любила;0,0001;0,0113
людям;0,0001;0,0113
мои;0,0001;0,0113
налево;0,0001;0,0113
нашел;0,0001;0,0113
одни;0,0001;0,0113
петербурга;0,0001;0,0113
писал;0,0001;0,0113
полкового;0,0001;0,0113
последние;0,0001;0,0113
приятно;0,0001;0,0113
просил;0,0001;0,0113
пьером;0,0001;0,0113
речи;0,0001;0,0113
русских;0,0001;0,0113
сделала;0,0001;0,0113
сделали;0,0001;0,0113
столько;0,0001;0,0113
счастье;0,0001;0,0113
считал;0,0001;0,0113
также;0,0001;0,0113
ходить;0,0001;0,0113
andre;0,0001;0,0108
non;0,0001;0,0108
pere;0,0001;0,0108
беспрестанно;0,0001;0,0108
велел;0,0001;0,0108
внимание;0,0001;0,0108
грустно;0,0001;0,0108
добродетели;0,0001;0,0108
жерков;0,0001;0,0108
засмеялся;0,0001;0,0108
иди;0,0001;0,0108
известие;0,0001;0,0108
краснея;0,0001;0,0108
менее;0,0001;0,0108
молодых;0,0001;0,0108
мундире;0,0001;0,0108
ночи;0,0001;0,0108
обе;0,0001;0,0108
обыкновенно;0,0001;0,0108
одному;0,0001;0,0108
павловны;0,0001;0,0108
первых;0,0001;0,0108
послышались;0,0001;0,0108
прибавила;0,0001;0,0108
ростовы;0,0001;0,0108
сквозь;0,0001;0,0108
слава;0,0001;0,0108
слышались;0,0001;0,0108
смерть;0,0001;0,0108
соней;0,0001;0,0108
счастия;0,0001;0,0108
счастлив;0,0001;0,0108
ужасно;0,0001;0,0108
утром;0,0001;0,0108
цепи;0,0001;0,0108
час;0,0001;0,0108
человеком;0,0001;0,0108
человеку;0,0001;0,0108
читать;0,0001;0,0108
шаги;0,0001;0,0108
белом;0,0001;0,0104
виде;0,0001;0,0104
вниз;0,0001;0,0104
войны;0,0001;0,0104
году;0,0001;0,0104
горы;0,0001;0,0104
груди;0,0001;0,0104
дядюшки;0,0001;0,0104
заговорил;0,0001;0,0104
знак;0,0001;0,0104
